Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Infectious Disease,Levofloxacin,RX,994,2.52,3.01,1.84,172.99,Oral Solids
Infectious Disease,Moxifloxacin,RX,755,2.78,3.0,2.08,74.99,Oral Liquids
Infectious Disease,Azithromycin,RX,584,3.21,4.01,2.57,32.1,Oral Solids
Infectious Disease,Levofloxacin 2,RX,361,2.44,2.96,1.68,172.99,Oral Solids
Infectious Disease,Amoxicillin,RX,353,3.04,3.37,2.34,12.59,Oral Solids
Infectious Disease,Clarithromycin,RX,222,3.0,3.4,2.18,99.49,Oral Solids
Infectious Disease,Erythromycin,RX,72,2.11,2.79,1.32,125.24,Oral Solids
Infectious Disease,Amoxicillin-Pot Clavulanate,RX,43,3.29,3.47,2.59,287.37,Oral Solids
Infectious Disease,Clarithromycin 2,RX,40,3.29,3.71,2.86,99.49,Oral Solids
Infectious Disease,Levofloxacin 3,RX,23,3.29,4.43,3.0,172.99,Oral Solids
Infectious Disease,Azithromycin 2,RX,20,4.0,4.5,3.7,32.1,Oral Solids
Infectious Disease,Erythromycin 2,RX,19,3.8,4.0,3.4,125.24,Oral Solids
Infectious Disease,Moxifloxacin 2,RX,13,3.33,3.33,3.0,74.99,Oral Liquids
Infectious Disease,Erythromycin Stearate,RX,12,3.0,2.8,2.2,161.19,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate,RX,11,3.25,2.75,3.0,332.63,Oral Liquids
Infectious Disease,Amoxicillin 2,RX,11,2.33,3.67,3.0,12.59,Oral Solids
Infectious Disease,Moxifloxacin 3,RX,10,2.5,3.5,2.5,74.99,Oral Liquids
Infectious Disease,Amoxicillin 3,RX,5,3.0,5.0,3.0,12.59,Oral Solids
Infectious Disease,Erythromycin Stearate 2,RX,4,5.0,4.0,5.0,161.19,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 2,RX,3,1.0,1.0,1.0,332.63,Oral Liquids
Infectious Disease,Clarithromycin 3,RX,2,5.0,4.0,4.5,99.49,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 3,RX,2,4.0,4.0,4.0,332.63,Oral Liquids
