Product Name,Price,Seller,Location,Amount Sold,Rating
Kylafood Seblak Original,19800,kylafood,Bandung,10000,4.9
"Seblak Rafael, Seblak Coet Instan Halal",23750,Brother Meat Shop,Depok,500,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",9405,Brother Meat Shop,Depok,100,4.9
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,50,5.0
SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500,BociKakang,Jakarta Selatan,500,4.8
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,3000,4.9
"Kylafood Seblak Cup Instan, Halal",11500,Brother Meat Shop,Depok,100,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,70,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,10000,Anggris store,Kab. Bogor,50,4.8
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,Tangerang Selatan,500,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,100,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,41000,JAGO TOK PETOK,Surabaya,100,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,39500,Beauty DELUXE,Jakarta Barat,40,4.9
Krupuk seblak mawar rafael pedas 250gram,12500,Markas Makaroni,Kab. Bekasi,100,4.7
[250 gr] Kerupuk Seblak Pedas,11500,CamilanJati,Kab. Sidoarjo,40,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,15000,Lidigeli,Kab. Garut,250,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,5999,Baso Aci Ayang,Kab. Garut,3000,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,24000,Lidigeli,Kab. Garut,100,4.8
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,11500,aurel prima snack,Jakarta Barat,30,4.8
