Product Name,Price,Seller,Location,Amount Sold,Rating
Kylafood Seblak Mie Baso Sapi Play,Rp24.200,,,250+ terjual,4.9
Kylafood Seblak karuhun,Rp9.450,,,4 rb+ terjual,4.8
Kylafood Paket (3 Seblak Original 2 Batagor kuah),Rp97.200,,,3 rb+ terjual,4.9
Kylafood Seblak Original,Rp19.800,kylafood,Bandung,10rb+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.405,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
kerupuk seblak kencur pedas,Rp15.000,snack neng nabila,Bandung,,
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.405,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,BociKakang,Jakarta Selatan,500+ terjual,4.8
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,100+ terjual,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,70+ terjual,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.000,Anggris store,Kab. Bogor,50+ terjual,4.8
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,Tangerang Selatan,500+ terjual,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,100+ terjual,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,Rp41.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,Rp39.500,Beauty DELUXE,Jakarta Barat,40+ terjual,4.9
Krupuk seblak mawar rafael pedas 250gram,Rp12.500,Markas Makaroni,Kab. Bekasi,100+ terjual,4.7
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.405,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
[250 gr] Kerupuk Seblak Pedas,Rp11.500,CamilanJati,Kab. Sidoarjo,40+ terjual,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,3rb+ terjual,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp24.000,Lidigeli,Kab. Garut,100+ terjual,4.8
KERUPUK JABLAY/KERUPUK SEBLAK RASA PEDAS BERAT 250 GRAM,Rp11.500,aurel prima snack,Jakarta Barat,30+ terjual,4.8
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp24.000,,,100+ terjual,4.8
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,Rp15.000,,,250+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,,,250+ terjual,4.8
Kylafood Paket Seblak Cup isi 4 pcs,Rp47.260,kylafood,Bandung,14 terjual,5.0
kerupuk seblak pedas coin 250g,Rp15.000,Toko Yazid Cita Rasa,Bandung,3 terjual,
Bundle - Basranger Seblak | Baso Aci Extra Pedas | Tulang Rangu,Rp56.300,Rak Sebelah,Jakarta Pusat,100+ terjual,4.9
Kylafood Seblak Mie Baso Sapi Play,Rp24.200,kylafood,Bandung,250+ terjual,4.9
Kerupuk Mawar Ukuran Kecil Warna Putih/Kerupuk Seblak Mentah 250 gr,Rp15.000,Mandumpang Jaya Olshop,Jakarta Pusat,6 terjual,5.0
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE, ENAK DAN GURIH",Rp18.500,global cookware1,Jakarta Barat,100+ terjual,4.9
Kerupuk seblak orens / kerupuk sari laut orange mentah,Rp7.000,home_nature,Kab. Tangerang,60+ terjual,4.9
krupuk seblak hah pedas gurih 1kg,Rp50.000,Markas Makaroni,Kab. Bekasi,500+ terjual,5.0
^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,Rp28.000,siskaarinang2,Bandung,11 terjual,5.0
Agen Seblak Mommy,Rp9.750,Kenal Jaya Bandung,Bandung,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,50+ terjual,5.0
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
"Kylafood Seblak Cup Instan, Halal",Rp11.500,Brother Meat Shop,Depok,100+ terjual,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,70+ terjual,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,Rp10.000,Anggris store,Kab. Bogor,50+ terjual,4.8
